Make,Body_Type,MAE,RMSE,N
Li Auto,SUV,1933.3103978489605,2755.9362308941368,10
GM Cadillac,SUV,1943.187730039341,2601.707644903745,14
FAW-Volkswagen Jetta,Sedan,1983.1000771046058,2247.290268108099,11
Great Wall New Energy,Hatchback,1986.6133188808856,2414.4516332063376,13
HYCAN,SUV,2013.9161068390429,2098.560527670384,10
Beijing Hyundai,Hatchback,2016.2864516034324,2461.1685533471177,16
SAIC-GM Buick,Sedan,2043.3861402191997,2681.9548401782336,16
Dongfeng Honda,Sedan,2051.7897716572556,2560.5535353843875,15
Hozon Auto,SUV,2059.6674859951786,2550.0896139661945,10
Denza,MPV,2101.048075319501,3021.554001791994,4
Geely Auto,Hatchback,2109.0707185606343,2548.8137391137857,16
Leapmotor,SUV,2116.4704427344805,2626.2307511369795,6
Jiangqi Group,Hatchback,2129.4110402594165,2497.8711378329435,9
Dongfeng Fengxing,SUV,2188.296803720167,2727.260837528571,15
SAIC MG,Hatchback,2285.0234322671527,2837.548272769709,14
Dongfeng Peugeot,Sedan,2320.0922723054855,2538.711075330744,16
SAIC-GM Buick,Hatchback,2374.622955783548,3200.8224464659374,16
Dongfeng Fengxing,Sedan,2411.8344362704115,2415.980651381683,15
FAW Hongqi,SUV,2420.702573509598,2716.6806524687845,12
Zeekr,Hatchback,2454.220764482895,2991.983220083734,4
GAC Motor,SUV,2462.0076542486845,3768.428062238999,16
SAIC Skoda,SUV,2523.2705522765,2603.744430321094,14
BEIJING Auto,Sedan,2539.3453288834717,3169.0688995235328,14
Leapmotor,Hatchback,2554.0491963229456,3110.2220124726628,9
Chery Auto,Sedan,2561.0819292710703,3819.580626029611,16
Beijing Hyundai,SUV,2626.083036383014,2811.649218982634,16
Geely Auto,SUV,2647.3472543969747,3514.3167625386595,16
Kia,Sedan,2666.458865628691,3048.7080146819826,14
NIO,SUV,2680.369210904617,3260.7096915019724,14
SAIC Volkswagen,Sedan,2725.139200094697,3724.839278320932,16
Junma Auto,SUV,2760.5665281269203,2839.9052442130255,5
FAW-Volkswagen Audi,Sedan,2802.7641568690633,3846.2096461212523,16
SAIC Volkswagen,SUV,2956.5864912962616,3539.356129412239,16
Beijing Benz,SUV,2962.2672457606545,3635.4352227256327,16
SAIC-GM Chevrolet,Sedan,2990.438406810006,3442.1366882808597,16
SAIC Volkswagen,Hatchback,3033.989443482772,4038.1456586129093,16
Geely Auto,Sedan,3072.3126812849096,4294.132961145471,16
SAIC-GM-Wuling,Sedan,3107.5185962108644,4507.497996094831,11
GAC Honda,SUV,3116.9133648757047,4325.659567274129,16
Great Wall Motors,SUV,3124.994993212226,4010.1848850084893,16
Zotye Auto,Sports Car,3279.6647420176573,4367.333265978361,6
SAIC-GM Buick,MPV,3326.1100999935693,4554.988138365422,16
Dongfeng Nissan,SUV,3386.0052175044398,4471.535202307816,16
GAC Toyota,Hatchback,3451.705245771809,4541.499656669102,14
Chery Auto,Hatchback,3493.248810455069,3914.2355655353845,9
FAW Toyota,SUV,3607.198489095077,4718.7616846627325,16
Huatai Auto,SUV,3710.5493680041636,3874.8484865033092,4
GAC Honda,Hatchback,3726.750719996895,4791.492269768583,16
FAW-Volkswagen,SUV,3766.252450632162,4360.170222581056,14
GAC Toyota,Sedan,3890.847131373983,4883.671848830501,16
